labid,lowtag,study area,location,lat,long,age.at.col1,th.age,sex,weight,body_condition,pregnancy,collar1,collar1.on,collar1.off,reason.off1,collar2,collar2.on,collar2.off,reason.off2,collar3,collar3.on,collar3.off,reason.off3,mort.date,cwd.test,cwd.result,lab_result_bpv,titer_value,log2,log10,ehdv_result,lb,lb_titer,lc,lc_titer,lg,lg_titer,lh,lh_titer,li,li_titer,lp,lp_titer,exposure_multi,home_range_95_kud_km2,home_range_50_kud_km2,mean_daily_dist_km,prop_habitat_agri,prop_habitat_forest,prop_habitat_wetland,crop_forest_ratio,edge_density,mean_odba,prop_time_resting,prop_time_active,crepuscularity_index,mean_resting_bout_duration_hrs,daily_resting_bout_frequency,fate,mortality_date,mortality_cause 
1,6069,,,"43°02'33.4""","90°15'46.4""",>2yrs,2,Female,,,,43218,3/7/19,5/27/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,5/27/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
2,5006,,,,,>2yrs,6,Female,,,,43201,1/9/17,2/4/19,censor,82063,2/4/19,3/25/19,mortality,NA,NA,NA,NA,3/25/19,TRUE,Positive,Positive,10,3.32,1,0,Positive,100,Negative,100,Positive,200,Negative,100,Negative,100,Positive,100,,,,,,,,,,,,,,,,,,
3,5183,,,,,>2yrs,10,Female,,,,43274,3/5/19,4/26/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,4/26/19,TRUE,Inconclusive,Positive,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
4,5565,,,,,8mo,NA,Male,,,,29535,2/16/19,12/25/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,12/25/19,TRUE,Positive,Positive,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
5,5583,,,,,>2yrs,NA,Female,,,,82016,2/13/19,11/24/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/24/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
6,5649,,,,,>2yrs,3,Male,,,,29432,3/2/19,11/8/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/8/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Positive,200,Negative,100,,,,,,,,,,,,,,,,,,
7,5669,,,,,>2yrs,9,Female,,,,82050,2/19/19,7/20/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,4/3/22,FALSE,Not tested,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
8,5687,,,,,20mo,NA,Female,,,,81999,2/19/19,11/27/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/27/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
9,5944,,,,,8mo,NA,Male,,,,24938,3/4/19,10/20/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/20/19,TRUE,Positive,Positive,40,5.32,1.6,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
10,6071,,,,,>2yrs,2,Female,,,,43271,3/8/19,6/22/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,6/22/20,TRUE,Positive,Positive,20,4.32,1.3,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
11,5037,,,,,8mo,NA,Female,,,,80594,1/3/19,9/5/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,9/5/21,TRUE,Negative,Positive,20,4.32,1.3,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
12,5193,,,,,8mo,NA,Female,,,,82047,3/7/19,7/22/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
13,5567,,,,,,,,,,,,,,,,,,NA,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
14,5587,,,,,>2yrs,7,Female,,,,82058,2/15/19,4/21/22,mortality,NA,NA,NA,NA,NA,NA,NA,NA,4/21/22,TRUE,Pending,Negative,10,3.32,1,0,Negative,100,Negative,100,Positive,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
15,5651,,,,,20mo,NA,Male,,,,24232,1/9/19,11/21/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/21/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
16,5671,,,,,8mo,NA,Female,,,,82005,2/15/19,5/8/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,5/8/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
17,5689,,,,,20mo,1,Female,,,,NA,NA,NA,NA,84597,1/4/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
18,5957,,,,,8mo,NA,Female,,,,80630,1/2/19,4/4/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,4/4/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
19,6073,,,,,8mo,NA,Female,,,,81996,2/14/19,3/5/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/5/21,TRUE,Pending,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
20,5068,,,,,8mo,NA,Male,,,,24227,3/1/17,2/18/19,censor,NA,NA,NA,NA,24932,2/18/19,5/23/20,censor,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Positive,200,,,,,,,,,,,,,,,,,,
21,5531,,,,,8mo,NA,Male,,,,29555,1/18/19,10/31/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/31/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
22,5569,,,,,>2yrs,NA,Female,,,,82053,3/3/19,7/4/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
23,5589,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Positive,200,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
24,5653,,,,,8mo,NA,Male,,,,29568,1/23/19,1/26/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,1/26/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
25,5665,,,,,>2yrs,3,Female,,,,43216,3/3/19,8/1/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,8/1/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
26,5691,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
27,5959,,,,,8mo,NA,Female,,,,82040,1/9/19,12/20/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
28,6127,,,,,8mo,NA,Male,,,,24211,12/11/18,11/21/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Positive,6400,,,,,,,,,,,,,,,,,,
29,5103,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
30,5551,,,,,8mo,NA,Female,,,,81993,2/11/19,7/13/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
31,5571,,,,,20mo,NA,Male,,,,29441,3/2/19,3/4/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/4/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
32,5593,,,,,20mo,NA,Female,,,,80581,2/18/19,2/1/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/1/20,TRUE,Pending,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
33,5655,,,,,>2yrs,2,Male,,,,24960,2/28/19,11/7/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/7/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
34,5673,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
35,5693,,,,,20mo,NA,Female,,,,NA,NA,NA,NA,84565,1/21/20,NA,NA,NA,NA,NA,NA,NA,Not tested,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
36,5985,,,,,8mo,NA,Female,,,,82003,1/11/19,12/30/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,12/30/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
37,6039,,,,,20mo,NA,Male,,,,24226,2/28/19,6/3/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,6/3/19,FALSE,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
38,5119,,,,,8mo,NA,Female,,,,80584,2/3/18,1/15/20,censor,NA,NA,NA,NA,84571,1/15/20,NA,NA,2/14/23,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
39,5553,,,,,20mo,NA,Female,,,,82034,3/4/19,10/25/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/25/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
40,5573,,,,,20mo,NA,Male,,,,24218,2/28/19,3/12/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,12/6/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Positive,200,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
41,5595,,,,,8mo,NA,Male,,,,29576,2/19/19,2/15/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/15/21,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
42,5657,,,,,8mo,NA,Female,,,,82020,1/23/19,10/26/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/26/20,TRUE,Negative,Positive,40,5.32,1.6,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Positive,800,,,,,,,,,,,,,,,,,,
43,5675,,,,,20mo,4,Female,,,,43294,2/21/19,4/15/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,4/15/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Positive,100,,,,,,,,,,,,,,,,,,
44,5695,,,,,>2yrs,5,Female,,,,82076,2/14/19,12/31/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,12/31/21,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
45,6023,,,,,20mo,NA,Female,,,,82072,1/10/19,11/20/22,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/20/22,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
46,6272,,,,,20mo,NA,Female,,,,43202,2/28/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
47,5143,,,,,8mo,NA,Female,,,,80593,2/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,160,7.32,2.2,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Positive,800,,,,,,,,,,,,,,,,,,
48,5555,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,160,7.32,2.2,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
49,5575,,,,,>2yrs,2,Female,,,,82059,3/6/19,12/14/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,12/14/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
50,5597,,,,,20mo,NA,Male,,,,29550,2/22/19,11/6/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/6/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
51,5659,,,,,>2yrs,15,Female,,,,43249,3/7/19,10/17/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/17/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Positive,100,Negative,100,,,,,,,,,,,,,,,,,,
52,5677,,,,,>2yrs,1,Female,,,,82042,2/16/19,11/30/21,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
53,5697,,,,,8mo,NA,Female,,,,82025,2/14/19,7/13/20,censor,NA,NA,NA,NA,NA,NA,NA,NA,11/23/21,TRUE,Negative,Negative,10,3.32,1,0,Positive,800,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
54,6025,,,,,>2yrs,9,Female,,,,82018,1/19/19,11/25/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/25/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
55,6061,,,,,>2yrs,12,Female,,,,80614,1/10/19,2/10/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,2/10/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
56,5153,,,,,8mo,NA,Female,,,,24971,1/24/18,7/28/18,censor,80646,12/28/18,9/16/21,censor,NA,NA,NA,NA,3/19/23,TRUE,Positive,Negative,10,3.32,1,0,Positive,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
57,5557,,,,,20mo,1,Male,,,,29438,2/19/19,12/1/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,12/1/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
58,5577,,,,,8mo,NA,Female,,,,81992,3/12/19,11/26/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/26/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
59,5631,,,,,>2yrs,NA,Female,,,,82070,1/26/19,1/6/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,1/6/21,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
60,5661,,,,,>2yrs,1,Male,,,,24961,2/28/19,11/3/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/3/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
61,5679,,,,,8mo,NA,Male,,,,29552,3/6/19,10/25/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/25/21,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
62,5726,,,,,>2yrs,6,Female,,,,43225,2/10/17,1/12/20,censor,NA,NA,NA,NA,84600,1/12/20,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
63,6876,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
64,6444,,,,,8mo,NA,Male,,,,24969,1/1/19,12/30/19,censor,40435,12/30/19,3/30/20,mortality,NA,NA,NA,NA,3/30/20,FALSE,NA,Negative,10,3.32,1,0,Positive,400,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
65,5163,,,,,>2yrs,1,Male,,,,24980,2/2/18,1/2/19,censor,24973,2/6/19,10/12/19,censor,NA,NA,NA,NA,10/30/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
66,5561,,,,,>2yrs,8,Female,,,,82048,2/11/19,6/2/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,6/2/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
67,5579,,,,,8mo,NA,Male,,,,29554,1/4/19,3/8/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/8/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
68,5637,,,,,8mo,NA,Male,,,,24205,3/7/19,3/1/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/1/21,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Positive,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
69,5663,,,,,8mo,NA,Male,,,,25007,2/18/19,10/5/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,10/30/21,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
70,5681,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
71,5827,,,,,8mo,NA,Male,,,,24929,1/23/19,10/27/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/27/20,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
72,6037,,,,,8mo,NA,Male,,,,29575,3/8/19,11/7/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/7/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
73,5179,,,,,>2yrs,NA,Female,,,,80620,3/6/19,6/28/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,6/28/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
74,5563,,,,,>2yrs,2,Female,,,,82023,2/19/19,10/11/22,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/11/22,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
75,5581,,,,,20mo,2,Male,,,,29564,3/7/19,10/15/19,censor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
76,5647,,,,,8mo,NA,Male,,,,29427,3/3/19,3/25/21,censor,NA,NA,NA,NA,NA,NA,NA,NA,11/21/21,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
